"Response.variable","Num.covars","Covar.cols","AICc"
NA,NA,NA,NA
"Max_biomass_ugL","1","2","29.8725714141396"
"Max_biomass_ugL","1","3","31.5778644310025"
"Max_biomass_ugL","1","4","30.1067934747723"
"Max_biomass_ugL","1","5","24.4425190439598"
"Max_biomass_ugL","1","6","27.3923091686229"
"Max_biomass_ugL","1","7","31.7618870942465"
"Max_biomass_ugL","1","8","32.5699650669893"
"Max_biomass_ugL","1","9","31.5613621092986"
"Max_biomass_ugL","1","10","31.9715682681746"
"Max_biomass_ugL","1","11","32.6273500429401"
"Max_biomass_ugL","1","12","31.3071598659062"
"Max_biomass_ugL","2","2","38.4369264722307"
"Max_biomass_ugL","2","3","39.8008475813792"
"Max_biomass_ugL","2","4","34.8508966754283"
"Max_biomass_ugL","2","5","28.6208174768173"
"Max_biomass_ugL","2","6","37.4249519810001"
"Max_biomass_ugL","2","7","38.1077214292602"
"Max_biomass_ugL","2","8","35.727844565575"
"Max_biomass_ugL","2","9","32.9403735979445"
"Max_biomass_ugL","2","10","36.2050163362532"
"Max_biomass_ugL","2","11","35.1455464545966"
"Max_biomass_ugL","2","12","34.8850076951158"
"Max_biomass_ugL","2","13","33.3537841897704"
"Max_biomass_ugL","2","14","29.7630863713293"
"Max_biomass_ugL","2","15","30.695605617422"
"Max_biomass_ugL","2","16","35.0016067718143"
"Max_biomass_ugL","2","17","35.7050724808579"
"Max_biomass_ugL","2","18","34.7744512251813"
"Max_biomass_ugL","2","19","34.6860930536749"
"Max_biomass_ugL","2","20","35.844489741497"
"Max_biomass_ugL","2","21","34.0850869807121"
"Max_biomass_ugL","2","22","32.0475898183989"
"Max_biomass_ugL","2","23","28.8508652435107"
"Max_biomass_ugL","2","24","23.4658622972177"
"Max_biomass_ugL","2","25","32.889064543894"
"Max_biomass_ugL","2","26","34.5414743727457"
"Max_biomass_ugL","2","27","34.6940136351196"
"Max_biomass_ugL","2","28","34.8820922250696"
"Max_biomass_ugL","2","29","35.0969226278597"
"Max_biomass_ugL","2","30","33.5140886809445"
"Max_biomass_ugL","2","31","27.9701829764754"
"Max_biomass_ugL","2","32","30.6250140978187"
"Max_biomass_ugL","2","33","29.1919675863714"
"Max_biomass_ugL","2","34","33.1006191644973"
"Max_biomass_ugL","2","35","31.984572200697"
"Max_biomass_ugL","2","36","32.812712200521"
"Max_biomass_ugL","2","37","33.8870849096187"
"Max_biomass_ugL","2","38","32.5264094436296"
"Max_biomass_ugL","2","39","17.4693755442897"
"Max_biomass_ugL","2","40","29.4051512966027"
"Max_biomass_ugL","2","41","28.5756267720423"
"Max_biomass_ugL","2","42","27.7575783405834"
"Max_biomass_ugL","2","43","30.4960422423627"
"Max_biomass_ugL","2","44","30.4760504924549"
"Max_biomass_ugL","2","45","29.8008591320084"
"Max_biomass_ugL","2","46","28.6146374222529"
"Max_biomass_ugL","2","47","29.5896610468052"
"Max_biomass_ugL","2","48","25.7257029475393"
"Max_biomass_ugL","2","49","27.1776572236918"
"Max_biomass_ugL","2","50","27.5888751048022"
"Max_biomass_ugL","2","51","26.7868152757858"
"Max_biomass_ugL","2","52","35.0086046280003"
"Max_biomass_ugL","2","53","33.1609119042811"
"Max_biomass_ugL","2","54","34.0503634301758"
"Max_biomass_ugL","2","55","35.1774498037584"
"Max_biomass_ugL","2","56","32.8141112051302"
"Max_biomass_ugL","2","57","35.1108602905333"
"Max_biomass_ugL","2","58","33.9344730640014"
"Max_biomass_ugL","2","59","36.1613145769344"
"Max_biomass_ugL","2","60","33.9125368398963"
"Max_biomass_ugL","2","61","33.2221016891425"
"Max_biomass_ugL","2","62","34.998614330304"
"Max_biomass_ugL","2","63","34.4676574831752"
"Max_biomass_ugL","2","64","35.1262708571764"
"Max_biomass_ugL","2","65","32.2877072252643"
"Max_biomass_ugL","2","66","34.4012390753842"
"Max_biomass_ugL","3","1","41.389641330256"
"Max_biomass_ugL","3","2","42.7596912372273"
"Max_biomass_ugL","3","3","37.2799376574174"
"Max_biomass_ugL","3","4","31.2730282594474"
"Max_biomass_ugL","3","5","40.0104642448211"
"Max_biomass_ugL","3","6","40.4220522919918"
"Max_biomass_ugL","3","7","38.2814078071878"
"Max_biomass_ugL","3","8","35.5416163897354"
"Max_biomass_ugL","3","9","39.0790475283869"
"Max_biomass_ugL","3","10","37.880445905807"
"Max_biomass_ugL","3","11","38.2774174359845"
"Max_biomass_ugL","3","12","37.2092526200943"
"Max_biomass_ugL","3","13","23.4658622972177"
"Max_biomass_ugL","3","14","36.5627555707568"
"Max_biomass_ugL","3","15","37.6435457348056"
"Max_biomass_ugL","3","16","37.4797171924229"
"Max_biomass_ugL","3","17","34.8820922250696"
"Max_biomass_ugL","3","18","37.6818639471648"
"Max_biomass_ugL","3","19","35.6406927752408"
"Max_biomass_ugL","3","20","37.0188425336963"
"Max_biomass_ugL","3","21","30.6250140978187"
"Max_biomass_ugL","3","22","37.5515221450184"
"Max_biomass_ugL","3","23","40.2067396689921"
"Max_biomass_ugL","3","24","35.9489702553576"
"Max_biomass_ugL","3","25","34.5493154778428"
"Max_biomass_ugL","3","26","37.0261932929043"
"Max_biomass_ugL","3","27","36.2472035094369"
"Max_biomass_ugL","3","28","24.2536424467615"
"Max_biomass_ugL","3","29","35.6954496408407"
"Max_biomass_ugL","3","30","37.3761393360283"
"Max_biomass_ugL","3","31","33.5295395144989"
"Max_biomass_ugL","3","32","34.508353330291"
"Max_biomass_ugL","3","33","35.4662070685503"
"Max_biomass_ugL","3","34","35.4970554507689"
"Max_biomass_ugL","3","35","28.9519427152556"
"Max_biomass_ugL","3","36","29.5896610468052"
"Max_biomass_ugL","3","37","25.7257029475393"
"Max_biomass_ugL","3","38","27.1776572236918"
"Max_biomass_ugL","3","39","27.5888751048022"
"Max_biomass_ugL","3","40","26.7868152757858"
"Max_biomass_ugL","3","41","38.5800149475342"
"Max_biomass_ugL","3","42","34.0283161381155"
"Max_biomass_ugL","3","43","34.1662418388707"
"Max_biomass_ugL","3","44","37.0693896593971"
"Max_biomass_ugL","3","45","33.2603704722241"
"Max_biomass_ugL","3","46","37.1041374747973"
"Max_biomass_ugL","3","47","35.6633547127438"
"Max_biomass_ugL","3","48","38.2464088710427"
"Max_biomass_ugL","3","49","37.7583781572075"
"Max_biomass_ugL","3","50","33.2221016891425"
"Max_biomass_ugL","3","51","36.5794766033252"
"Max_biomass_ugL","3","52","35.2893941546362"
"Max_biomass_ugL","3","53","35.1262708571764"
"Max_biomass_ugL","3","54","34.1706758778151"
"Max_biomass_ugL","3","55","34.5741562500776"
"Max_biomass_ugL","3","56","35.7231068284402"
"Max_biomass_ugL","3","57","32.5211110422698"
"Max_biomass_ugL","3","58","26.4830204606638"
"Max_biomass_ugL","3","59","36.5068172059311"
"Max_biomass_ugL","3","60","38.2129745684506"
"Max_biomass_ugL","3","61","38.3047078285648"
"Max_biomass_ugL","3","62","37.810485528961"
"Max_biomass_ugL","3","63","38.8085703216276"
"Max_biomass_ugL","3","64","36.9711668887453"
"Max_biomass_ugL","3","65","31.5658198631381"
"Max_biomass_ugL","3","66","33.7703070196327"
"Max_biomass_ugL","3","67","32.8750755266638"
"Max_biomass_ugL","3","68","36.5778796732741"
"Max_biomass_ugL","3","69","35.6184724813813"
"Max_biomass_ugL","3","70","36.0240976896356"
"Max_biomass_ugL","3","71","37.5272016312216"
"Max_biomass_ugL","3","72","35.9969737219199"
"Max_biomass_ugL","3","73","21.1082162343752"
"Max_biomass_ugL","3","74","32.6427354867745"
"Max_biomass_ugL","3","75","31.4580751745417"
"Max_biomass_ugL","3","76","31.2721363318018"
"Max_biomass_ugL","3","77","33.5909490259155"
"Max_biomass_ugL","3","78","33.9302376655606"
"Max_biomass_ugL","3","79","33.0320838203013"
"Max_biomass_ugL","3","80","31.6565692620079"
"Max_biomass_ugL","3","81","31.003302104398"
"Max_biomass_ugL","3","82","25.4650792641842"
"Max_biomass_ugL","3","83","29.7871095893245"
"Max_biomass_ugL","3","84","30.1861120663688"
"Max_biomass_ugL","3","85","28.6372925315921"
"Max_biomass_ugL","3","86","38.6757910150081"
"Max_biomass_ugL","3","87","33.5689496667831"
"Max_biomass_ugL","3","88","36.5013607967162"
"Max_biomass_ugL","3","89","38.8754736181911"
"Max_biomass_ugL","3","90","34.7618266507506"
"Max_biomass_ugL","3","91","38.4514957198492"
"Max_biomass_ugL","3","92","37.3505428400405"
"Max_biomass_ugL","3","93","39.6970731351072"
"Max_biomass_ugL","3","94","37.0132008535922"
"Max_biomass_ugL","3","95","35.1287110424126"
"Max_biomass_ugL","3","96","38.6115095018046"
"Max_biomass_ugL","3","97","37.8110070061943"
"Max_biomass_ugL","3","98","38.0948739882724"
